CMDLINE /usr/bin/python3 MemoryLeakTests.py
MEM 3052.449219 1687041878.9039
MEM 3132.277344 1687041879.0046
MEM 3183.011719 1687041879.1052
MEM 3191.757812 1687041879.2058
MEM 3192.554688 1687041879.3064
MEM 3192.675781 1687041879.4070
MEM 3192.839844 1687041879.5075
MEM 3192.839844 1687041879.6080
MEM 3192.847656 1687041879.7085
MEM 3192.847656 1687041879.8091
MEM 3192.847656 1687041879.9097
MEM 3192.847656 1687041880.0102
MEM 3193.179688 1687041880.1108
MEM 3193.441406 1687041880.2114
MEM 3193.449219 1687041880.3119
MEM 3193.453125 1687041880.4124
MEM 3193.503906 1687041880.5129
MEM 3193.574219 1687041880.6134
MEM 3193.679688 1687041880.7140
MEM 3193.785156 1687041880.8145
MEM 3193.933594 1687041880.9150
MEM 3194.023438 1687041881.0155
MEM 3194.121094 1687041881.1161
MEM 3194.152344 1687041881.2167
MEM 3194.363281 1687041881.3172
MEM 3194.417969 1687041881.4177
MEM 3194.492188 1687041881.5182
MEM 3194.652344 1687041881.6187
MEM 3194.652344 1687041881.7193
MEM 3194.855469 1687041881.8198
MEM 3194.855469 1687041881.9203
MEM 3195.070312 1687041882.0208
MEM 3195.257812 1687041882.1214
MEM 3195.828125 1687041882.2220
MEM 3196.019531 1687041882.3225
MEM 3196.277344 1687041882.4230
MEM 3196.480469 1687041882.5235
MEM 3197.015625 1687041882.6240
MEM 3197.015625 1687041882.7245
MEM 3197.015625 1687041882.8251
MEM 3197.136719 1687041882.9256
MEM 3197.136719 1687041883.0261
MEM 3207.593750 1687041883.1267
MEM 3211.437500 1687041883.2273
MEM 3211.949219 1687041883.3279
MEM 3211.953125 1687041883.4285
MEM 3211.953125 1687041883.5290
MEM 3211.953125 1687041883.6295
MEM 3212.148438 1687041883.7300
MEM 3212.312500 1687041883.8306
MEM 3212.312500 1687041883.9311
MEM 3212.312500 1687041884.0317
MEM 3212.312500 1687041884.1322
MEM 3212.867188 1687041884.2328
MEM 3212.867188 1687041884.3334
MEM 3213.003906 1687041884.4339
MEM 3213.003906 1687041884.5343
MEM 3213.253906 1687041884.6349
MEM 3213.253906 1687041884.7354
MEM 3213.253906 1687041884.8359
MEM 3213.253906 1687041884.9364
MEM 3213.253906 1687041885.0370
MEM 3213.253906 1687041885.1375
MEM 3213.253906 1687041885.2380
MEM 3213.476562 1687041885.3384
MEM 3213.476562 1687041885.4390
MEM 3213.476562 1687041885.5395
MEM 3213.476562 1687041885.6400
MEM 3213.476562 1687041885.7405
MEM 3213.476562 1687041885.8411
MEM 3213.476562 1687041885.9416
MEM 3213.476562 1687041886.0421
